FirstName,LastName,Company,Email,Phone,LeadSource,Status
First41,Last41,Company_41,user41@example.com,555-346-0144,Referral,Closed - Converted
First42,Last42,Company_42,user42@example.com,555-440-7905,Web,Working - Contacted
First43,Last43,Company_43,user43@example.com,555-308-8668,Referral,Closed - Converted
First44,Last44,Company_44,user44@example.com,555-007-0723,Web,Open - Not Contacted
First45,Last45,Company_45,user45@example.com,555-318-7575,Referral,Working - Contacted
First46,Last46,Company_46,user46@example.com,555-378-0493,Referral,Closed - Converted
First47,Last47,Company_47,user47@example.com,555-934-9213,Web,Closed - Converted
First48,Last48,Company_48,user48@example.com,555-561-9932,Partner,Closed - Converted
First49,Last49,Company_49,user49@example.com,555-055-0916,Referral,Working - Contacted
First50,Last50,Company_50,user50@example.com,555-427-6880,Web,Open - Not Contacted
First51,Last51,Company_51,user51@example.com,555-557-4367,Referral,Open - Not Contacted
First52,Last52,Company_52,user52@example.com,555-667-1886,Referral,Working - Contacted
First53,Last53,Company_53,user53@example.com,555-426-2060,Web,Closed - Converted
First54,Last54,Company_54,user54@example.com,555-912-3456,Referral,Closed - Converted
First55,Last55,Company_55,user55@example.com,555-866-9335,Web,Open - Not Contacted
First56,Last56,Company_56,user56@example.com,555-333-3470,Referral,Open - Not Contacted
First57,Last57,Company_57,user57@example.com,555-551-4461,Referral,Open - Not Contacted
First58,Last58,Company_58,user58@example.com,555-552-3979,Partner,Open - Not Contacted
First59,Last59,Company_59,user59@example.com,555-577-6124,Referral,Closed - Converted
First60,Last60,Company_60,user60@example.com,555-115-8315,Partner,Working - Contacted
First61,Last61,Company_61,user61@example.com,555-978-6829,Web,Closed - Converted
First62,Last62,Company_62,user62@example.com,555-161-2263,Partner,Closed - Converted
First63,Last63,Company_63,user63@example.com,555-207-8491,Referral,Closed - Converted
First64,Last64,Company_64,user64@example.com,555-858-6369,Partner,Closed - Converted
First65,Last65,Company_65,user65@example.com,555-728-8090,Web,Closed - Converted
First66,Last66,Company_66,user66@example.com,555-832-1013,Partner,Open - Not Contacted
First67,Last67,Company_67,user67@example.com,555-149-3955,Web,Closed - Converted
First68,Last68,Company_68,user68@example.com,555-040-6718,Partner,Closed - Converted
First69,Last69,Company_69,user69@example.com,555-058-3217,Partner,Working - Contacted
First70,Last70,Company_70,user70@example.com,555-897-6364,Partner,Open - Not Contacted
First71,Last71,Company_71,user71@example.com,555-295-8878,Web,Working - Contacted
First72,Last72,Company_72,user72@example.com,555-425-3815,Partner,Closed - Converted
First73,Last73,Company_73,user73@example.com,555-569-6250,Partner,Working - Contacted
First74,Last74,Company_74,user74@example.com,555-240-0436,Partner,Working - Contacted
First75,Last75,Company_75,user75@example.com,555-467-8149,Web,Closed - Converted
First76,Last76,Company_76,user76@example.com,555-656-0564,Referral,Working - Contacted
First77,Last77,Company_77,user77@example.com,555-772-4829,Partner,Working - Contacted
First78,Last78,Company_78,user78@example.com,555-197-1925,Partner,Open - Not Contacted
First79,Last79,Company_79,user79@example.com,555-738-2655,Partner,Open - Not Contacted
First80,Last80,Company_80,user80@example.com,555-240-5863,Web,Working - Contacted
First81,Last81,Company_81,user81@example.com,555-637-2294,Partner,Closed - Converted
First82,Last82,Company_82,user82@example.com,555-082-9177,Referral,Working - Contacted
First83,Last83,Company_83,user83@example.com,555-733-7955,Partner,Open - Not Contacted
First84,Last84,Company_84,user84@example.com,555-762-4815,Partner,Closed - Converted
First85,Last85,Company_85,user85@example.com,555-040-8323,Partner,Closed - Converted
First86,Last86,Company_86,user86@example.com,555-082-6706,Web,Open - Not Contacted
First87,Last87,Company_87,user87@example.com,555-198-3033,Web,Open - Not Contacted
First88,Last88,Company_88,user88@example.com,555-090-7554,Referral,Working - Contacted
First89,Last89,Company_89,user89@example.com,555-902-8792,Referral,Open - Not Contacted
First90,Last90,Company_90,user90@example.com,555-270-5531,Web,Open - Not Contacted
First91,Last91,Company_91,user91@example.com,555-341-0838,Referral,Working - Contacted
First92,Last92,Company_92,user92@example.com,555-175-7565,Web,Closed - Converted
First93,Last93,Company_93,user93@example.com,555-818-7790,Web,Open - Not Contacted
First94,Last94,Company_94,user94@example.com,555-523-8867,Partner,Working - Contacted
First95,Last95,Company_95,user95@example.com,555-575-7343,Partner,Closed - Converted
First96,Last96,Company_96,user96@example.com,555-726-8165,Referral,Closed - Converted
First97,Last97,Company_97,user97@example.com,555-524-2930,Web,Closed - Converted
First98,Last98,Company_98,user98@example.com,555-932-1351,Web,Working - Contacted
First99,Last99,Company_99,user99@example.com,555-468-7544,Partner,Working - Contacted
First100,Last100,Company_100,user100@example.com,555-361-4382,Referral,Closed - Converted
First101,Last101,Company_101,user101@example.com,555-065-8605,Partner,Open - Not Contacted
First102,Last102,Company_102,user102@example.com,555-581-1590,Web,Closed - Converted
First103,Last103,Company_103,user103@example.com,555-159-9968,Referral,Closed - Converted
First104,Last104,Company_104,user104@example.com,555-983-6746,Partner,Open - Not Contacted
First105,Last105,Company_105,user105@example.com,555-222-3095,Referral,Working - Contacted
First106,Last106,Company_106,user106@example.com,555-228-0393,Referral,Working - Contacted
First107,Last107,Company_107,user107@example.com,555-151-2850,Referral,Open - Not Contacted
First108,Last108,Company_108,user108@example.com,555-060-6752,Referral,Working - Contacted
First109,Last109,Company_109,user109@example.com,555-931-6073,Referral,Open - Not Contacted
First110,Last110,Company_110,user110@example.com,555-557-7015,Referral,Working - Contacted
First111,Last111,Company_111,user111@example.com,555-543-9816,Partner,Closed - Converted
First112,Last112,Company_112,user112@example.com,555-290-0452,Web,Open - Not Contacted
First113,Last113,Company_113,user113@example.com,555-150-9936,Web,Open - Not Contacted
First114,Last114,Company_114,user114@example.com,555-855-1441,Web,Closed - Converted
First115,Last115,Company_115,user115@example.com,555-657-5908,Referral,Open - Not Contacted
First116,Last116,Company_116,user116@example.com,555-387-5071,Web,Closed - Converted
First117,Last117,Company_117,user117@example.com,555-076-3606,Web,Open - Not Contacted
First118,Last118,Company_118,user118@example.com,555-425-9132,Web,Open - Not Contacted
First119,Last119,Company_119,user119@example.com,555-380-6606,Partner,Closed - Converted
First120,Last120,Company_120,user120@example.com,555-432-2435,Partner,Working - Contacted
First121,Last121,Company_121,user121@example.com,555-128-8419,Web,Working - Contacted
First122,Last122,Company_122,user122@example.com,555-087-4581,Referral,Working - Contacted
First123,Last123,Company_123,user123@example.com,555-086-0695,Referral,Working - Contacted
First124,Last124,Company_124,user124@example.com,555-883-9386,Web,Closed - Converted
First125,Last125,Company_125,user125@example.com,555-645-4972,Web,Open - Not Contacted
First126,Last126,Company_126,user126@example.com,555-413-9981,Referral,Working - Contacted
First127,Last127,Company_127,user127@example.com,555-445-9184,Web,Closed - Converted
First128,Last128,Company_128,user128@example.com,555-117-7322,Partner,Open - Not Contacted
First129,Last129,Company_129,user129@example.com,555-565-6864,Referral,Working - Contacted
First130,Last130,Company_130,user130@example.com,555-718-0987,Referral,Working - Contacted
First131,Last131,Company_131,user131@example.com,555-021-4114,Web,Working - Contacted
First132,Last132,Company_132,user132@example.com,555-110-5205,Referral,Open - Not Contacted
First133,Last133,Company_133,user133@example.com,555-871-9840,Web,Closed - Converted
First134,Last134,Company_134,user134@example.com,555-933-3755,Web,Working - Contacted
First135,Last135,Company_135,user135@example.com,555-867-5186,Web,Open - Not Contacted
First136,Last136,Company_136,user136@example.com,555-120-8958,Referral,Working - Contacted
First137,Last137,Company_137,user137@example.com,555-089-5455,Web,Open - Not Contacted
First138,Last138,Company_138,user138@example.com,555-873-1692,Web,Open - Not Contacted
First139,Last139,Company_139,user139@example.com,555-026-8514,Web,Working - Contacted
First140,Last140,Company_140,user140@example.com,555-809-8107,Web,Open - Not Contacted
First141,Last141,Company_141,user141@example.com,555-258-4549,Referral,Closed - Converted
First142,Last142,Company_142,user142@example.com,555-037-5668,Web,Closed - Converted
First143,Last143,Company_143,user143@example.com,555-646-7063,Web,Closed - Converted
First144,Last144,Company_144,user144@example.com,555-152-3432,Referral,Open - Not Contacted
First145,Last145,Company_145,user145@example.com,555-204-4867,Web,Closed - Converted
First146,Last146,Company_146,user146@example.com,555-106-7944,Web,Open - Not Contacted
First147,Last147,Company_147,user147@example.com,555-967-4602,Referral,Working - Contacted
First148,Last148,Company_148,user148@example.com,555-616-2416,Partner,Working - Contacted
First149,Last149,Company_149,user149@example.com,555-702-7876,Partner,Open - Not Contacted
First150,Last150,Company_150,user150@example.com,555-086-8594,Referral,Closed - Converted
First151,Last151,Company_151,user151@example.com,555-451-6404,Web,Working - Contacted
First152,Last152,Company_152,user152@example.com,555-537-7510,Web,Open - Not Contacted
First153,Last153,Company_153,user153@example.com,555-408-6194,Referral,Closed - Converted
First154,Last154,Company_154,user154@example.com,555-314-3778,Referral,Open - Not Contacted
First155,Last155,Company_155,user155@example.com,555-275-0370,Referral,Open - Not Contacted
First156,Last156,Company_156,user156@example.com,555-119-6332,Web,Closed - Converted
First157,Last157,Company_157,user157@example.com,555-879-0587,Referral,Closed - Converted
First158,Last158,Company_158,user158@example.com,555-854-9549,Web,Closed - Converted
First159,Last159,Company_159,user159@example.com,555-713-5250,Web,Closed - Converted
First160,Last160,Company_160,user160@example.com,555-456-0755,Referral,Closed - Converted
First161,Last161,Company_161,user161@example.com,555-487-9706,Web,Working - Contacted
First162,Last162,Company_162,user162@example.com,555-082-3988,Referral,Open - Not Contacted
First163,Last163,Company_163,user163@example.com,555-560-9509,Referral,Closed - Converted
First164,Last164,Company_164,user164@example.com,555-972-9335,Partner,Working - Contacted
First165,Last165,Company_165,user165@example.com,555-951-4065,Partner,Closed - Converted
First166,Last166,Company_166,user166@example.com,555-330-8784,Partner,Working - Contacted
First167,Last167,Company_167,user167@example.com,555-930-2648,Partner,Working - Contacted
First168,Last168,Company_168,user168@example.com,555-916-3827,Web,Open - Not Contacted
First169,Last169,Company_169,user169@example.com,555-063-8736,Referral,Closed - Converted
First170,Last170,Company_170,user170@example.com,555-455-6050,Referral,Working - Contacted
First171,Last171,Company_171,user171@example.com,555-589-4489,Web,Open - Not Contacted
First172,Last172,Company_172,user172@example.com,555-772-8267,Partner,Open - Not Contacted
First173,Last173,Company_173,user173@example.com,555-862-9492,Partner,Open - Not Contacted
First174,Last174,Company_174,user174@example.com,555-429-9013,Web,Closed - Converted
First175,Last175,Company_175,user175@example.com,555-601-8318,Partner,Open - Not Contacted
First176,Last176,Company_176,user176@example.com,555-581-0508,Referral,Open - Not Contacted
First177,Last177,Company_177,user177@example.com,555-426-4922,Partner,Open - Not Contacted
First178,Last178,Company_178,user178@example.com,555-086-6959,Web,Open - Not Contacted
First179,Last179,Company_179,user179@example.com,555-613-3731,Web,Closed - Converted
First180,Last180,Company_180,user180@example.com,555-805-3210,Web,Closed - Converted
First181,Last181,Company_181,user181@example.com,555-895-7807,Referral,Working - Contacted
First182,Last182,Company_182,user182@example.com,555-744-4875,Partner,Closed - Converted
First183,Last183,Company_183,user183@example.com,555-235-9223,Referral,Closed - Converted
First184,Last184,Company_184,user184@example.com,555-301-9607,Web,Working - Contacted
First185,Last185,Company_185,user185@example.com,555-315-9365,Referral,Closed - Converted
First186,Last186,Company_186,user186@example.com,555-383-5479,Web,Closed - Converted
First187,Last187,Company_187,user187@example.com,555-983-5932,Referral,Closed - Converted
First188,Last188,Company_188,user188@example.com,555-348-3810,Partner,Open - Not Contacted
First189,Last189,Company_189,user189@example.com,555-051-3301,Referral,Closed - Converted
First190,Last190,Company_190,user190@example.com,555-774-2047,Web,Working - Contacted
First191,Last191,Company_191,user191@example.com,555-414-4803,Partner,Working - Contacted
First192,Last192,Company_192,user192@example.com,555-921-5052,Partner,Closed - Converted
First193,Last193,Company_193,user193@example.com,555-898-5721,Web,Working - Contacted
First194,Last194,Company_194,user194@example.com,555-345-0597,Partner,Open - Not Contacted
First195,Last195,Company_195,user195@example.com,555-137-3904,Partner,Working - Contacted
First196,Last196,Company_196,user196@example.com,555-492-8667,Referral,Working - Contacted
First197,Last197,Company_197,user197@example.com,555-854-0372,Partner,Working - Contacted
First198,Last198,Company_198,user198@example.com,555-000-5484,Partner,Closed - Converted
First199,Last199,Company_199,user199@example.com,555-233-3676,Referral,Working - Contacted
First200,Last200,Company_200,user200@example.com,555-511-5210,Web,Open - Not Contacted
First201,Last201,Company_201,user201@example.com,555-438-8918,Web,Working - Contacted
First202,Last202,Company_202,user202@example.com,555-391-7849,Web,Closed - Converted
First203,Last203,Company_203,user203@example.com,555-672-0933,Referral,Open - Not Contacted
First204,Last204,Company_204,user204@example.com,555-942-7820,Partner,Closed - Converted
First205,Last205,Company_205,user205@example.com,555-091-0986,Web,Closed - Converted
First206,Last206,Company_206,user206@example.com,555-240-1025,Partner,Working - Contacted
First207,Last207,Company_207,user207@example.com,555-508-2562,Partner,Working - Contacted
First208,Last208,Company_208,user208@example.com,555-697-9184,Referral,Open - Not Contacted
First209,Last209,Company_209,user209@example.com,555-630-1497,Web,Working - Contacted
First210,Last210,Company_210,user210@example.com,555-461-4609,Partner,Working - Contacted
First211,Last211,Company_211,user211@example.com,555-507-6960,Partner,Open - Not Contacted
First212,Last212,Company_212,user212@example.com,555-640-6683,Partner,Closed - Converted
First213,Last213,Company_213,user213@example.com,555-311-5172,Referral,Open - Not Contacted
First214,Last214,Company_214,user214@example.com,555-039-8863,Referral,Open - Not Contacted
First215,Last215,Company_215,user215@example.com,555-153-0443,Web,Open - Not Contacted
First216,Last216,Company_216,user216@example.com,555-787-6352,Partner,Open - Not Contacted
First217,Last217,Company_217,user217@example.com,555-112-5010,Web,Open - Not Contacted
First218,Last218,Company_218,user218@example.com,555-601-9774,Partner,Closed - Converted
First219,Last219,Company_219,user219@example.com,555-659-0220,Referral,Open - Not Contacted
First220,Last220,Company_220,user220@example.com,555-245-6999,Partner,Working - Contacted
First221,Last221,Company_221,user221@example.com,555-412-2522,Partner,Open - Not Contacted
First222,Last222,Company_222,user222@example.com,555-076-0445,Partner,Closed - Converted
First223,Last223,Company_223,user223@example.com,555-281-7721,Partner,Closed - Converted
First224,Last224,Company_224,user224@example.com,555-207-0642,Referral,Closed - Converted
First225,Last225,Company_225,user225@example.com,555-346-3471,Partner,Open - Not Contacted
First226,Last226,Company_226,user226@example.com,555-437-5233,Web,Closed - Converted
First227,Last227,Company_227,user227@example.com,555-489-8828,Partner,Open - Not Contacted
First228,Last228,Company_228,user228@example.com,555-844-3965,Partner,Working - Contacted
First229,Last229,Company_229,user229@example.com,555-576-8266,Partner,Open - Not Contacted
First230,Last230,Company_230,user230@example.com,555-200-1984,Web,Working - Contacted
First231,Last231,Company_231,user231@example.com,555-385-3392,Partner,Open - Not Contacted
First232,Last232,Company_232,user232@example.com,555-193-8004,Partner,Open - Not Contacted
First233,Last233,Company_233,user233@example.com,555-199-0104,Partner,Open - Not Contacted
First234,Last234,Company_234,user234@example.com,555-909-4573,Web,Working - Contacted
First235,Last235,Company_235,user235@example.com,555-535-6830,Partner,Open - Not Contacted
First236,Last236,Company_236,user236@example.com,555-597-3932,Referral,Working - Contacted
First237,Last237,Company_237,user237@example.com,555-380-4379,Referral,Closed - Converted
First238,Last238,Company_238,user238@example.com,555-799-9967,Referral,Working - Contacted
First239,Last239,Company_239,user239@example.com,555-466-7121,Web,Working - Contacted
First240,Last240,Company_240,user240@example.com,555-878-7049,Web,Working - Contacted
First241,Last241,Company_241,user241@example.com,555-123-3637,Partner,Open - Not Contacted
First242,Last242,Company_242,user242@example.com,555-441-1394,Web,Open - Not Contacted
First243,Last243,Company_243,user243@example.com,555-360-6851,Partner,Working - Contacted
First244,Last244,Company_244,user244@example.com,555-301-6636,Web,Working - Contacted
First245,Last245,Company_245,user245@example.com,555-783-3313,Partner,Closed - Converted
First246,Last246,Company_246,user246@example.com,555-532-6885,Web,Working - Contacted
First247,Last247,Company_247,user247@example.com,555-080-7155,Web,Open - Not Contacted
First248,Last248,Company_248,user248@example.com,555-869-8640,Web,Working - Contacted
First249,Last249,Company_249,user249@example.com,555-081-1821,Web,Closed - Converted
First250,Last250,Company_250,user250@example.com,555-764-8131,Partner,Closed - Converted
First251,Last251,Company_251,user251@example.com,555-405-5198,Referral,Open - Not Contacted
First252,Last252,Company_252,user252@example.com,555-322-8175,Partner,Open - Not Contacted
First253,Last253,Company_253,user253@example.com,555-338-6255,Referral,Closed - Converted
First254,Last254,Company_254,user254@example.com,555-598-0097,Partner,Closed - Converted
First255,Last255,Company_255,user255@example.com,555-269-5879,Web,Working - Contacted
First256,Last256,Company_256,user256@example.com,555-503-5726,Partner,Open - Not Contacted
First257,Last257,Company_257,user257@example.com,555-817-4025,Referral,Closed - Converted
First258,Last258,Company_258,user258@example.com,555-937-2295,Referral,Working - Contacted
First259,Last259,Company_259,user259@example.com,555-056-6739,Referral,Closed - Converted
First260,Last260,Company_260,user260@example.com,555-441-7888,Web,Open - Not Contacted
First261,Last261,Company_261,user261@example.com,555-527-2002,Web,Working - Contacted
First262,Last262,Company_262,user262@example.com,555-938-6708,Web,Closed - Converted
First263,Last263,Company_263,user263@example.com,555-758-4096,Partner,Open - Not Contacted
First264,Last264,Company_264,user264@example.com,555-482-7662,Referral,Working - Contacted
First265,Last265,Company_265,user265@example.com,555-549-3716,Referral,Closed - Converted
First266,Last266,Company_266,user266@example.com,555-138-7866,Partner,Closed - Converted
First267,Last267,Company_267,user267@example.com,555-040-1152,Web,Closed - Converted
First268,Last268,Company_268,user268@example.com,555-144-8449,Referral,Closed - Converted
First269,Last269,Company_269,user269@example.com,555-061-3489,Referral,Closed - Converted
First270,Last270,Company_270,user270@example.com,555-034-1089,Web,Working - Contacted
First271,Last271,Company_271,user271@example.com,555-242-4097,Partner,Working - Contacted
First272,Last272,Company_272,user272@example.com,555-893-3991,Web,Open - Not Contacted
First273,Last273,Company_273,user273@example.com,555-223-7743,Referral,Open - Not Contacted
First274,Last274,Company_274,user274@example.com,555-501-8363,Referral,Closed - Converted
First275,Last275,Company_275,user275@example.com,555-404-5975,Partner,Working - Contacted
First276,Last276,Company_276,user276@example.com,555-662-9693,Partner,Open - Not Contacted
First277,Last277,Company_277,user277@example.com,555-509-4133,Web,Open - Not Contacted
First278,Last278,Company_278,user278@example.com,555-033-9319,Partner,Working - Contacted
First279,Last279,Company_279,user279@example.com,555-136-0718,Web,Open - Not Contacted
First280,Last280,Company_280,user280@example.com,555-500-8561,Partner,Closed - Converted
First281,Last281,Company_281,user281@example.com,555-609-8210,Web,Open - Not Contacted
First282,Last282,Company_282,user282@example.com,555-841-3807,Web,Working - Contacted
First283,Last283,Company_283,user283@example.com,555-504-0921,Web,Working - Contacted
First284,Last284,Company_284,user284@example.com,555-171-9223,Referral,Working - Contacted
First285,Last285,Company_285,user285@example.com,555-746-6711,Partner,Closed - Converted
First286,Last286,Company_286,user286@example.com,555-174-2552,Partner,Working - Contacted
First287,Last287,Company_287,user287@example.com,555-519-9739,Referral,Open - Not Contacted
First288,Last288,Company_288,user288@example.com,555-851-5761,Referral,Open - Not Contacted
First289,Last289,Company_289,user289@example.com,555-598-8311,Referral,Closed - Converted
First290,Last290,Company_290,user290@example.com,555-332-5112,Referral,Working - Contacted
First291,Last291,Company_291,user291@example.com,555-260-3579,Web,Open - Not Contacted
First292,Last292,Company_292,user292@example.com,555-725-2581,Partner,Working - Contacted
First293,Last293,Company_293,user293@example.com,555-014-1240,Referral,Open - Not Contacted
First294,Last294,Company_294,user294@example.com,555-039-1396,Web,Working - Contacted
First295,Last295,Company_295,user295@example.com,555-158-5196,Partner,Closed - Converted
First296,Last296,Company_296,user296@example.com,555-399-2116,Partner,Open - Not Contacted
First297,Last297,Company_297,user297@example.com,555-396-9287,Referral,Working - Contacted
First298,Last298,Company_298,user298@example.com,555-306-9297,Web,Closed - Converted
First299,Last299,Company_299,user299@example.com,555-215-0461,Partner,Open - Not Contacted
First300,Last300,Company_300,user300@example.com,555-006-9405,Referral,Open - Not Contacted
First301,Last301,Company_301,user301@example.com,555-329-9572,Referral,Closed - Converted
First302,Last302,Company_302,user302@example.com,555-800-3349,Referral,Closed - Converted
First303,Last303,Company_303,user303@example.com,555-446-5710,Partner,Working - Contacted
First304,Last304,Company_304,user304@example.com,555-913-1850,Referral,Working - Contacted
First305,Last305,Company_305,user305@example.com,555-464-5407,Partner,Open - Not Contacted
First306,Last306,Company_306,user306@example.com,555-169-7561,Web,Closed - Converted
First307,Last307,Company_307,user307@example.com,555-210-2441,Partner,Closed - Converted
First308,Last308,Company_308,user308@example.com,555-542-1256,Web,Working - Contacted
First309,Last309,Company_309,user309@example.com,555-026-6051,Web,Open - Not Contacted
First310,Last310,Company_310,user310@example.com,555-164-9575,Partner,Closed - Converted
First311,Last311,Company_311,user311@example.com,555-119-6920,Web,Working - Contacted
First312,Last312,Company_312,user312@example.com,555-092-7153,Web,Working - Contacted
First313,Last313,Company_313,user313@example.com,555-809-7264,Referral,Working - Contacted
First314,Last314,Company_314,user314@example.com,555-119-0430,Web,Closed - Converted
First315,Last315,Company_315,user315@example.com,555-853-4259,Referral,Working - Contacted
First316,Last316,Company_316,user316@example.com,555-139-7960,Web,Open - Not Contacted
First317,Last317,Company_317,user317@example.com,555-689-2705,Web,Closed - Converted
First318,Last318,Company_318,user318@example.com,555-633-4252,Web,Working - Contacted
First319,Last319,Company_319,user319@example.com,555-633-2786,Partner,Open - Not Contacted
First320,Last320,Company_320,user320@example.com,555-763-7431,Web,Working - Contacted
First321,Last321,Company_321,user321@example.com,555-468-8289,Web,Working - Contacted
First322,Last322,Company_322,user322@example.com,555-309-3002,Web,Closed - Converted
First323,Last323,Company_323,user323@example.com,555-128-7101,Partner,Working - Contacted
First324,Last324,Company_324,user324@example.com,555-340-2471,Web,Open - Not Contacted
First325,Last325,Company_325,user325@example.com,555-622-6243,Partner,Working - Contacted
First326,Last326,Company_326,user326@example.com,555-777-5822,Referral,Working - Contacted
First327,Last327,Company_327,user327@example.com,555-164-1034,Web,Open - Not Contacted
First328,Last328,Company_328,user328@example.com,555-866-1177,Web,Working - Contacted
First329,Last329,Company_329,user329@example.com,555-626-7583,Partner,Working - Contacted
First330,Last330,Company_330,user330@example.com,555-008-0806,Web,Working - Contacted
First331,Last331,Company_331,user331@example.com,555-550-1089,Referral,Closed - Converted
First332,Last332,Company_332,user332@example.com,555-234-0660,Partner,Closed - Converted
First333,Last333,Company_333,user333@example.com,555-695-9446,Referral,Open - Not Contacted
First334,Last334,Company_334,user334@example.com,555-005-1685,Web,Working - Contacted
First335,Last335,Company_335,user335@example.com,555-109-3141,Partner,Open - Not Contacted
First336,Last336,Company_336,user336@example.com,555-673-9085,Web,Open - Not Contacted
First337,Last337,Company_337,user337@example.com,555-114-2017,Partner,Open - Not Contacted
First338,Last338,Company_338,user338@example.com,555-948-3512,Web,Open - Not Contacted
First339,Last339,Company_339,user339@example.com,555-554-2673,Referral,Open - Not Contacted
First340,Last340,Company_340,user340@example.com,555-582-7074,Partner,Open - Not Contacted
First341,Last341,Company_341,user341@example.com,555-195-5339,Referral,Working - Contacted
First342,Last342,Company_342,user342@example.com,555-728-4751,Partner,Working - Contacted
First343,Last343,Company_343,user343@example.com,555-556-0948,Referral,Working - Contacted
First344,Last344,Company_344,user344@example.com,555-407-2808,Partner,Open - Not Contacted
First345,Last345,Company_345,user345@example.com,555-244-0671,Web,Open - Not Contacted
First346,Last346,Company_346,user346@example.com,555-014-8297,Web,Working - Contacted
First347,Last347,Company_347,user347@example.com,555-014-5795,Partner,Working - Contacted
First348,Last348,Company_348,user348@example.com,555-616-3439,Referral,Closed - Converted
First349,Last349,Company_349,user349@example.com,555-208-2969,Web,Closed - Converted
First350,Last350,Company_350,user350@example.com,555-256-8788,Referral,Closed - Converted
First351,Last351,Company_351,user351@example.com,555-503-3747,Referral,Open - Not Contacted
First352,Last352,Company_352,user352@example.com,555-131-4266,Web,Working - Contacted
First353,Last353,Company_353,user353@example.com,555-398-8067,Partner,Closed - Converted
First354,Last354,Company_354,user354@example.com,555-069-6265,Partner,Working - Contacted
First355,Last355,Company_355,user355@example.com,555-746-5702,Referral,Closed - Converted
First356,Last356,Company_356,user356@example.com,555-883-9324,Referral,Open - Not Contacted
First357,Last357,Company_357,user357@example.com,555-950-0791,Partner,Open - Not Contacted
First358,Last358,Company_358,user358@example.com,555-153-6477,Referral,Working - Contacted
First359,Last359,Company_359,user359@example.com,555-209-4171,Partner,Closed - Converted
First360,Last360,Company_360,user360@example.com,555-303-1339,Partner,Closed - Converted
First361,Last361,Company_361,user361@example.com,555-824-3314,Referral,Closed - Converted
First362,Last362,Company_362,user362@example.com,555-985-7299,Partner,Open - Not Contacted
First363,Last363,Company_363,user363@example.com,555-700-5566,Web,Closed - Converted
First364,Last364,Company_364,user364@example.com,555-289-0108,Web,Working - Contacted
